Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
MESSAGEix-GLOBIOM;CPol;World;554.7430459;1836.910807;1586.583919;661.9555499;411.6286622;1.83%;0.66%;816.5089621;105.5386232;0.82766432;228.3110275;0.404299508;48.40630999;25.71986517;360.8671671;0;250.3268877;0;41.16713747;0;63.96328256;0;0;7.375503472;13.06596336;60.12008009;85.5198958;81.34528403;0.530835342;0;360.8671671;0
MESSAGEix-GLOBIOM;NDC;World;538.05683;1853.588513;1592.807775;699.7412633;438.9605248;1.85%;0.70%;800.831147;102.7979088;1.146266931;247.2939494;0.512072719;49.35545767;34.53621465;354.3561742;1.978583358;260.7807384;0.521055647;38.34977145;0.746784835;64.03993413;0;0;7.375503472;20.88991655;62.84152427;97.34640997;85.49436655;0.589380321;0;354.3561742;0
MESSAGEix-GLOBIOM;2C;World;499.8735038;1925.460304;1645.278705;768.0138763;487.8322774;1.92%;0.77%;800.4906335;104.7285801;3.460673799;274.1864057;0.974300982;49.9916662;49.21731481;353.0815598;9.147569887;280.1815989;0.330180828;37.65987897;5.726322907;66.66049799;0;0;7.254781537;33.83411164;74.34664;100.6916201;97.53413832;0.530835342;0;353.0815598;0
MESSAGEix-GLOBIOM;1.5C;World;452.0490404;2068.494591;1730.450227;985.0690531;647.0246893;2.07%;0.99%;710.2339636;106.0663384;7.720172689;371.1862369;1.45714136;59.87060768;69.99262123;383.8008297;20.12231549;338.0443637;2.27131334;42.04488157;12.55585084;63.61325365;0;0;8.644663855;52.24408167;109.5599543;146.0609855;109.523168;6.042129127;0;379.5485414;4.252288298
MESSAGEix-GLOBIOM;CPol;CHN;135.6183335;249.4391658;249.4391658;88.97085479;88.97085479;1.18%;0.42%;59.85866997;32.31435363;0;49.82811287;0.013676209;4.616155666;8.895120071;93.91307742;0;0;0;27.00641699;0;5.307936634;0;0;2.560787925;8.895120071;23.86622096;9.714961744;16.24515674;0.001773418;0;93.91307742;0
MESSAGEix-GLOBIOM;NDC;CHN;135.821428;249.8514321;250.0471837;88.74787012;88.94362167;1.18%;0.42%;60.51242097;32.27106434;0;49.82774965;0.013676209;4.616155666;8.895120071;93.91099679;0;-0.195751552;0;27.00641699;0;5.264647344;0;0;2.560787925;8.895120071;23.86622096;9.714961744;16.24479352;0.001773418;0;93.91099679;0
MESSAGEix-GLOBIOM;2C;CHN;115.7346205;289.8543451;278.4445987;134.0016261;122.5918797;1.38%;0.64%;56.56887709;33.84612106;0.767458209;74.59968406;0.335967468;5.146965893;15.56371034;90.69686827;0.918946354;11.40974636;0;27.00641699;0.458711567;6.839704064;0;0;2.993794436;15.56371034;35.14496268;13.92221009;25.53073787;0.001773418;0;90.69686827;0
MESSAGEix-GLOBIOM;1.5C;CHN;104.3780596;364.8354268;331.3054455;213.3723219;179.8423407;1.74%;1.02%;46.84790964;33.77579998;1.189711468;111.6980295;0.814575283;8.140935607;22.25967876;105.1410769;1.437728373;33.52998124;0.201660123;27.61139736;1.236068251;6.164402612;0;0;4.016227668;22.25967876;35.14496268;46.88648013;29.56294324;0.103643502;0;100.8887886;4.252288298
MESSAGEix-GLOBIOM;CPol;EU;59.82863427;150.5857633;150.5857633;75.63721739;75.63721739;0.74%;0.37%;36.20873756;13.48522058;0.138879826;38.25456677;0.06946055;8.461478203;0.809044553;53.15837528;0;0;0;0.813388369;0;12.66497089;0;0;0.124132473;0.809044553;6.980356937;11.48192488;19.42641329;0.222280546;0;53.15837528;0
MESSAGEix-GLOBIOM;NDC;EU;57.62131604;152.1401768;150.8120768;78.47763449;77.14953448;0.75%;0.39%;35.53616799;13.74867109;0.191842052;39.06425721;0.088215896;8.944766796;0.809044553;52.27499907;0.154112169;1.328100011;0;0.813388369;0.050288644;12.92842139;0;0;0.124132473;0.809044553;6.980356937;11.48192488;20.19733207;0.222280546;0;52.27499907;0
