Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;R5LAM;Investment|Energy Efficiency;billion US$2019;14,6499;18,143;11,8348;12,7169;13,8544;10,5189
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Efficiency;billion US$2019;77,771;90,4793;86,631;88,6894;87,4365;80,1874
Reference;IEA-WEI2020;R5MAF;Investment|Energy Efficiency;billion US$2019;4,7474;4,8473;7,8931;8,0814;9,7516;9,7421
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Efficiency;billion US$2019;133,0148;143,2515;135,2129;132,8382;129,221;108,8213
Reference;IEA-WEI2020;R5REF;Investment|Energy Efficiency;billion US$2019;8,7169;8,1789;9,2282;9,1742;9,1366;10,2304
Reference;IEA-WEI2020;R5LAM;Investment|Energy Demand|Renewables and other end-use;billion US$2019;0,6041;0,7041;0,711;0,6527;0,6457;0,6457
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Demand|Renewables and other end-use;billion US$2019;16,1986;14,3192;13,7822;13,6927;13,6927;12,2608
Reference;IEA-WEI2020;R5MAF;Investment|Energy Demand|Renewables and other end-use;billion US$2019;0,4063;0,9074;0,9074;0,6127;0,6212;0,5095
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Demand|Renewables and other end-use;billion US$2019;12,6996;12,573;12,603;13,621;14,2801;13,0778
Reference;IEA-WEI2020;R5REF;Investment|Energy Demand|Renewables and other end-use;billion US$2019;0,5915;0,8964;0,8964;0,7209;0,7603;0,7062
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;14,3194;14,8886;14,237;13,7392;11,4321;10,3727
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;118,522;126,1296;121,202;116,8795;98,9845;91,2041
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;25,3059;25,2742;23,3488;20,5615;16,5631;13,6869
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;128,795;130,7388;129,2145;133,9865;137,3827;124,5119
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;9,3577;9,0688;9,6977;9,2332;8,7377;7,8244
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,0242;0,0242;0,1242;0,0363;0,0484;0,0423
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,6916;1,2103;1,2967;2,3341;1,729;1,4696
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,0048;0,0111;0,0143;0,0206;0,2175;0,1143
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,7661;1,2233;1,4248;2,1512;2,0563;1,7338
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,0133;0,0311;0,04;0,0578;0,0489;0,04
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Extraction|Oil;billion US$2019;70,716;53,705;57,7712;64,4568;66,4663;43,9173
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Extraction|Oil;billion US$2019;70,7743;61,9159;64,3403;70,4013;71,0541;49,7938
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Extraction|Oil;billion US$2019;148,8;117,5;113;107;106,5;77,2
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Extraction|Oil;billion US$2019;192,0858;150,1633;170,6289;181,9386;175,441;114,6166
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Extraction|Oil;billion US$2019;56,4239;44,3159;42,8596;40,3033;37,3386;26,5723
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Extraction|Coal;billion US$2019;1,5881;1,3861;0,9635;0,6369;0,8451;0,6328
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Extraction|Coal;billion US$2019;77,2416;61,1309;58,5353;59,6094;70,2603;60,5939
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Extraction|Coal;billion US$2019;1,5;1,8;2;1,8;2,5;2
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Extraction|Coal;billion US$2019;15,501;13,5137;11,9534;10,2706;12,2684;9,3871
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Extraction|Coal;billion US$2019;8,6693;8,2693;6,4477;3,1831;2,1262;1,6862
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Extraction|Gas;billion US$2019;13,9192;11,9406;11,6282;10,798;10,7829;8,2744
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Extraction|Gas;billion US$2019;72,823;62,2862;54,2136;57,2727;57,8675;40,6177
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Extraction|Gas;billion US$2019;44,8466;38,2732;34,4871;27,5695;27,2042;20,5771
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Extraction|Gas;billion US$2019;135,7819;119,9708;125,5637;115,6288;113,0544;77,5324
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Extraction|Gas;billion US$2019;64,7293;56,9292;54,7074;47,631;45,491;23,6983
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;0;0;0;0;0;0,3
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;5,9763;5,5719;5,5719;6,1111;7,2794;6,0662
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;19,0237;22,3281;23,0281;19,5889;23,7206;22,5338
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;3,3;2,7;2,8;3,4;4;3,6
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;4,7177;5,142;5,4094;5,3021;5,2778;4,2622
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;17,4958;17,0098;15,4708;13,9318;14,2558;15,2278
